City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,port hedland,92,AU,1518816600,83,-20.31,118.58,78.8,10.29
142,polunochnoye,48,RU,1518819070,63,60.87,60.43,9.74,6.58
143,duku,0,NG,1518819071,27,11.24,4.91,81.47,11.79
144,nemby,75,PY,1518815400,83,-25.37,-57.6,75.2,17.22
145,najibabad,0,IN,1518819072,100,29.61,78.34,51.55,5.79
146,jaguaribe,64,BR,1518819073,81,-5.88,-38.62,78.41,4.79
147,cockburn town,0,TC,1518819073,98,21.46,-71.14,77.56,14.47
148,praya,40,ID,1518818400,94,-8.71,116.27,77.0,3.36
149,georgetown,90,GY,1518814800,94,6.8,-58.16,75.2,4.7
150,chokurdakh,48,RU,1518818953,77,70.62,147.9,-11.86,5.91
151,eyl,24,SO,1518818927,98,7.98,49.82,73.51,13.35
152,tuktoyaktuk,5,CA,1518814800,83,69.44,-133.03,-4.01,20.8
153,belaya rechka,90,RU,1518814800,86,43.44,43.54,33.8,6.71
154,longyearbyen,0,NO,1518817800,77,78.22,15.63,6.8,3.36
155,rome,0,IT,1518816000,83,41.89,12.48,44.6,5.82
156,aykhal,48,RU,1518819078,71,65.95,111.51,-17.22,3.06
157,grand island,1,US,1518818160,50,40.92,-98.34,33.8,16.11
158,ponta do sol,20,BR,1518819079,56,-20.63,-46.0,81.11,2.89
159,kahului,75,US,1518816360,73,20.89,-156.47,78.8,1.39
160,lorengau,44,PG,1518818906,100,-2.02,147.27,83.09,12.35
161,ishimbay,36,RU,1518819080,71,53.45,56.04,4.3,3.22
162,bathsheba,20,BB,1518814800,83,13.22,-59.52,77.0,17.22
163,kysyl-syr,64,RU,1518819082,66,63.9,122.77,-14.7,3.11
164,vila franca do campo,20,PT,1518816600,71,37.72,-25.43,51.8,6.93
165,katherine,76,AU,1518816600,94,-14.47,132.26,75.2,4.7
166,narsaq,0,GL,1518817800,50,60.91,-46.05,8.6,8.05
167,khasan,8,RU,1518819083,100,42.43,130.64,14.42,19.22
168,atbasar,76,KZ,1518819084,87,51.81,68.36,13.52,4.85
169,toowoomba,75,AU,1518814800,83,-27.56,151.95,75.2,13.87
170,syracuse,40,US,1518818160,69,43.05,-76.15,33.8,18.34
171,meulaboh,64,ID,1518818904,100,4.14,96.13,79.54,3.11
172,garden city,90,US,1518818160,87,40.73,-73.63,50.0,11.41
173,ndioum,0,SN,1518814800,19,16.51,-14.65,78.8,2.24
174,jijiga,0,ET,1518819088,46,9.35,42.8,60.82,6.8
175,nouadhibou,20,MR,1518814800,82,20.93,-17.03,62.6,11.41
176,solnechnyy,44,RU,1518818940,57,50.72,136.64,-11.91,2.84
177,aksarka,68,RU,1518819090,76,66.56,67.8,7.81,9.78
178,gambela,76,ET,1518819090,71,8.25,34.59,67.79,2.89
179,natal,40,BR,1518814800,94,-5.81,-35.21,77.0,10.29
180,san rafael,8,AR,1518819093,79,-34.61,-68.33,74.63,4.0
181,kupang,75,ID,1518816600,100,-10.16,123.6,75.2,3.36
182,nelson bay,32,AU,1518816600,65,-32.72,152.14,77.0,8.05
183,vardo,75,US,1518818100,65,39.62,-77.74,51.8,20.8
184,victoria,75,BN,1518816600,94,5.28,115.24,78.8,1.72
185,xalpatlahuac,0,MX,1518819097,29,17.47,-98.62,80.84,1.88
186,san patricio,36,PY,1518819098,54,-26.98,-56.83,88.31,3.89
187,bosaso,12,SO,1518819099,100,11.28,49.18,74.41,9.55
188,luderitz,0,NA,1518814800,88,-26.65,15.16,62.6,14.99
189,najran,0,SA,1518814800,24,17.54,44.22,66.2,3.62
190,roald,75,NO,1518817800,75,62.58,6.12,41.0,8.05
